bridge_rule,slr_ft,metric,value,unit,universe,population_count_type,reference_value,delta,record_type,baseline_status,scenario_status,block_count,population
intersect,1,new_inundated_population,4853.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,1,new_inundated_population,4853.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,2,new_fragile_blocks,170.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,2,new_fragile_population,12494.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,2,new_fragile_population,12494.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,2,new_isolated_blocks,273.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,2,new_isolated_population,28411.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,2,new_isolated_population,28411.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,2,new_inundated_blocks,155.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,2,new_inundated_population,17435.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,2,new_inundated_population,17435.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,3,new_fragile_blocks,387.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,3,new_fragile_population,33977.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,3,new_fragile_population,33977.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,3,new_isolated_blocks,980.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,3,new_isolated_population,156368.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,3,new_isolated_population,156368.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,3,new_inundated_blocks,758.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,3,new_inundated_population,86305.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,3,new_inundated_population,86305.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,4,new_fragile_blocks,558.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,4,new_fragile_population,54298.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,4,new_fragile_population,54298.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,4,new_isolated_blocks,1615.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,4,new_isolated_population,237017.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,4,new_isolated_population,237017.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,4,new_inundated_blocks,2001.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,4,new_inundated_population,251366.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,4,new_inundated_population,251366.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,5,new_fragile_blocks,952.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,5,new_fragile_population,87930.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,5,new_fragile_population,87930.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,5,new_isolated_blocks,2889.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,5,new_isolated_population,356087.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,5,new_isolated_population,356087.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,5,new_inundated_blocks,4690.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,5,new_inundated_population,575265.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,5,new_inundated_population,575265.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,6,new_fragile_blocks,922.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,6,new_fragile_population,88320.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,6,new_fragile_population,88320.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,6,new_isolated_blocks,5447.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,6,new_isolated_population,651276.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,6,new_isolated_population,651276.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,6,new_inundated_blocks,10301.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,6,new_inundated_population,1326887.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,6,new_inundated_population,1326887.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,1,cumulative_newly_affected_population,5349.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,1,cumulative_newly_affected_population,5349.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,2,cumulative_newly_affected_population,63689.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,2,cumulative_newly_affected_population,58340.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,3,cumulative_newly_affected_population,340339.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,3,cumulative_newly_affected_population,276650.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,4,cumulative_newly_affected_population,883020.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,4,cumulative_newly_affected_population,542681.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,5,cumulative_newly_affected_population,1902302.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,5,cumulative_newly_affected_population,1019282.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,6,cumulative_newly_affected_population,3968785.0,persons,analysis_universe,person_scenario,660000.0,3308785.0,headline,,,,
intersect,6,cumulative_newly_affected_population,2066483.0,persons,analysis_universe,unique_person,660000.0,1406483.0,headline,,,,
approach,0,baseline_status_redundant_blocks,51456.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,0,baseline_status_redundant_population,3714771.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,0,baseline_status_redundant_population,3714771.0,persons,all_blocks,unique_person,,,headline,,,,
approach,0,baseline_status_fragile_blocks,17714.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,0,baseline_status_fragile_population,2381718.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,0,baseline_status_fragile_population,2381718.0,persons,all_blocks,unique_person,,,headline,,,,
approach,0,baseline_status_isolated_blocks,176.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,0,baseline_status_isolated_population,19842.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,0,baseline_status_isolated_population,19842.0,persons,all_blocks,unique_person,,,headline,,,,
approach,0,baseline_status_inundated_blocks,1178.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,0,baseline_status_inundated_population,20155.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,0,baseline_status_inundated_population,20155.0,persons,all_blocks,unique_person,,,headline,,,,
approach,0,baseline_status_unclassified_blocks,171.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,0,baseline_status_unclassified_population,1847.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,0,baseline_status_unclassified_population,1847.0,persons,all_blocks,unique_person,,,headline,,,,
approach,0,baseline_fragile_share,0.25056934719569984,share,all_blocks,not_applicable,0.247,0.0035693471956998457,headline,,,,
approach,0,new_fragile_blocks,0.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,0,new_fragile_population,0.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,0,new_fragile_population,0.0,persons,all_blocks,unique_person,,,headline,,,,
approach,0,new_isolated_blocks,0.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,0,new_isolated_population,0.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,0,new_isolated_population,0.0,persons,all_blocks,unique_person,,,headline,,,,
approach,0,new_inundated_blocks,0.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,0,new_inundated_population,0.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,0,new_inundated_population,0.0,persons,all_blocks,unique_person,,,headline,,,,
approach,1,new_fragile_blocks,5.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,1,new_fragile_population,56.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,1,new_fragile_population,56.0,persons,all_blocks,unique_person,,,headline,,,,
approach,1,new_isolated_blocks,14.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,1,new_isolated_population,614.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,1,new_isolated_population,614.0,persons,all_blocks,unique_person,,,headline,,,,
approach,1,new_inundated_blocks,113.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,1,new_inundated_population,4853.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,1,new_inundated_population,4853.0,persons,all_blocks,unique_person,,,headline,,,,
approach,2,new_fragile_blocks,204.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,2,new_fragile_population,12988.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,2,new_fragile_population,12988.0,persons,all_blocks,unique_person,,,headline,,,,
approach,2,new_isolated_blocks,373.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,2,new_isolated_population,34349.0,persons,all_blocks,person_scenario,,,headline,,,,
approach,2,new_isolated_population,34349.0,persons,all_blocks,unique_person,,,headline,,,,
approach,2,new_inundated_blocks,312.0,blocks,all_blocks,not_applicable,,,headline,,,,
approach,2,new_inundated_population,17435.0,persons,all_blocks,person_scenario,,,headline,,,,
