record_type,bridge_rule,slr_ft,category,segment_count,length_m,length_km,parent_way_count,structure_count,inventory_segment_count,inventory_length_m,inventory_length_km,intersecting_segment_count,reference_value,delta,current_value
removed_segments,approach,1,negative_layer,144,2094.2704356668355,2.0942704356668354,45,39,1436,26458.415709483466,26.458415709483468,1872,,,
removed_segments,approach,1,positive_gate_classification_mismatch,144,2094.2704356668355,2.0942704356668354,45,39,1437,26493.46268313061,26.49346268313061,1872,,,
removed_segments,retain,0,all_segments,428,19869.52062871785,19.86952062871785,322,0,1856748,54224269.08161901,54224.26908161901,1478,,,
removed_segments,retain,0,bridge_tag_present,0,0.0,0.0,0,0,9770,332937.214232835,332.937214232835,1478,,,
removed_segments,retain,0,nonzero_layer,0,0.0,0.0,0,0,11665,378335.64843139844,378.33564843139845,1478,,,
removed_segments,retain,0,nonzero_layer_no_bridge_tag,0,0.0,0.0,0,0,2400,60435.32082649976,60.43532082649976,1478,,,
removed_segments,retain,0,neither_bridge_nor_nonzero_layer,428,19869.52062871785,19.86952062871785,322,0,1844578,53830896.54655968,53830.89654655968,1478,,,
removed_segments,retain,0,movable_tag,0,0.0,0.0,0,0,95,3877.2385940980303,3.87723859409803,1478,,,
removed_segments,retain,0,negative_layer,0,0.0,0.0,0,0,1436,26458.415709483466,26.458415709483468,1478,,,
removed_segments,retain,0,positive_gate_classification_mismatch,0,0.0,0.0,0,0,1437,26493.46268313061,26.49346268313061,1478,,,
removed_segments,retain,1,all_segments,789,38691.464954473166,38.69146495447317,452,0,1856748,54224269.08161901,54224.26908161901,1872,,,
removed_segments,retain,1,bridge_tag_present,0,0.0,0.0,0,0,9770,332937.214232835,332.937214232835,1872,,,
removed_segments,retain,1,nonzero_layer,0,0.0,0.0,0,0,11665,378335.64843139844,378.33564843139845,1872,,,
removed_segments,retain,1,nonzero_layer_no_bridge_tag,0,0.0,0.0,0,0,2400,60435.32082649976,60.43532082649976,1872,,,
removed_segments,retain,1,neither_bridge_nor_nonzero_layer,789,38691.464954473166,38.69146495447317,452,0,1844578,53830896.54655968,53830.89654655968,1872,,,
removed_segments,retain,1,movable_tag,0,0.0,0.0,0,0,95,3877.2385940980303,3.87723859409803,1872,,,
removed_segments,retain,1,negative_layer,0,0.0,0.0,0,0,1436,26458.415709483466,26.458415709483468,1872,,,
removed_segments,retain,1,positive_gate_classification_mismatch,0,0.0,0.0,0,0,1437,26493.46268313061,26.49346268313061,1872,,,
pre_fix_comparison,intersect,0,bridge_parent_way_count,,,,,,,,,,660,-5.0,655.0
pre_fix_comparison,intersect,0,bridge_length_km,,,,,,,,,,57.6,-1.4357326113037274,56.164267388696274
pre_fix_comparison,intersect,0,bridge_segment_count_share,,,,,,,,,,0.71,-0.005669824086603437,0.7043301759133965
pre_fix_comparison,intersect,0,bridge_length_share,,,,,,,,,,0.71,0.01537692536865376,0.7253769253686537
assertion,all,0,expected_control_and_collapse_pattern,,,,,,,,,,intersect approximately pre-fix; approach lower; retain zero,,True
tag_inventory,all,,movable_tag_segments,95,,,,,,,,,,,
tag_inventory,all,,negative_layer_segments,1436,,,,,,,,,,,
pre_fix_comparison,intersect,0_and_1,movable_removed_person_scenarios,,,,,,,,,,186,0,186
pre_fix_comparison,intersect,0_and_1,negative_layer_removed_person_scenarios,,,,,,,,,,18,0,18
assertion,all,,positive_layer_and_fixed_span_gate_matches_cache,1437,,,,,,,,,0,1437,False
assertion,all,,negative_layer_without_fixed_bridge_is_removal_eligible,1436,,,,,1436,,,,0,1436,False
assertion,all,,movable_without_positive_layer_is_removal_eligible,1,,,,,1,,,,0,1,False
