bridge_rule,slr_ft,metric,value,unit,universe,population_count_type,reference_value,delta
intersect,0,new_fragile_population,0.0,persons,analysis_universe,unique_person,,
intersect,0,new_isolated_blocks,0.0,blocks,analysis_universe,not_applicable,,
intersect,0,new_isolated_population,0.0,persons,analysis_universe,person_scenario,,
intersect,0,new_isolated_population,0.0,persons,analysis_universe,unique_person,,
intersect,0,new_inundated_blocks,0.0,blocks,analysis_universe,not_applicable,,
intersect,0,new_inundated_population,0.0,persons,analysis_universe,person_scenario,,
intersect,0,new_inundated_population,0.0,persons,analysis_universe,unique_person,,
intersect,1,new_fragile_blocks,5.0,blocks,analysis_universe,not_applicable,,
intersect,1,new_fragile_population,150.0,persons,analysis_universe,person_scenario,,
intersect,1,new_fragile_population,150.0,persons,analysis_universe,unique_person,,
intersect,1,new_isolated_blocks,11.0,blocks,analysis_universe,not_applicable,,
intersect,1,new_isolated_population,346.0,persons,analysis_universe,person_scenario,,
intersect,1,new_isolated_population,346.0,persons,analysis_universe,unique_person,,
intersect,1,new_inundated_blocks,27.0,blocks,analysis_universe,not_applicable,,
intersect,1,new_inundated_population,4853.0,persons,analysis_universe,person_scenario,,
intersect,1,new_inundated_population,4853.0,persons,analysis_universe,unique_person,,
intersect,2,new_fragile_blocks,170.0,blocks,analysis_universe,not_applicable,,
intersect,2,new_fragile_population,12494.0,persons,analysis_universe,person_scenario,,
intersect,2,new_fragile_population,12494.0,persons,analysis_universe,unique_person,,
intersect,2,new_isolated_blocks,273.0,blocks,analysis_universe,not_applicable,,
intersect,2,new_isolated_population,28411.0,persons,analysis_universe,person_scenario,,
intersect,2,new_isolated_population,28411.0,persons,analysis_universe,unique_person,,
intersect,2,new_inundated_blocks,155.0,blocks,analysis_universe,not_applicable,,
intersect,2,new_inundated_population,17435.0,persons,analysis_universe,person_scenario,,
intersect,2,new_inundated_population,17435.0,persons,analysis_universe,unique_person,,
intersect,3,new_fragile_blocks,387.0,blocks,analysis_universe,not_applicable,,
intersect,3,new_fragile_population,33977.0,persons,analysis_universe,person_scenario,,
intersect,3,new_fragile_population,33977.0,persons,analysis_universe,unique_person,,
intersect,3,new_isolated_blocks,980.0,blocks,analysis_universe,not_applicable,,
intersect,3,new_isolated_population,156368.0,persons,analysis_universe,person_scenario,,
intersect,3,new_isolated_population,156368.0,persons,analysis_universe,unique_person,,
intersect,3,new_inundated_blocks,758.0,blocks,analysis_universe,not_applicable,,
intersect,3,new_inundated_population,86305.0,persons,analysis_universe,person_scenario,,
intersect,3,new_inundated_population,86305.0,persons,analysis_universe,unique_person,,
intersect,4,new_fragile_blocks,558.0,blocks,analysis_universe,not_applicable,,
intersect,4,new_fragile_population,54298.0,persons,analysis_universe,person_scenario,,
intersect,4,new_fragile_population,54298.0,persons,analysis_universe,unique_person,,
intersect,4,new_isolated_blocks,1615.0,blocks,analysis_universe,not_applicable,,
intersect,4,new_isolated_population,237017.0,persons,analysis_universe,person_scenario,,
intersect,4,new_isolated_population,237017.0,persons,analysis_universe,unique_person,,
intersect,4,new_inundated_blocks,2001.0,blocks,analysis_universe,not_applicable,,
intersect,4,new_inundated_population,251366.0,persons,analysis_universe,person_scenario,,
intersect,4,new_inundated_population,251366.0,persons,analysis_universe,unique_person,,
intersect,5,new_fragile_blocks,952.0,blocks,analysis_universe,not_applicable,,
intersect,5,new_fragile_population,87930.0,persons,analysis_universe,person_scenario,,
intersect,5,new_fragile_population,87930.0,persons,analysis_universe,unique_person,,
intersect,5,new_isolated_blocks,2889.0,blocks,analysis_universe,not_applicable,,
intersect,5,new_isolated_population,356087.0,persons,analysis_universe,person_scenario,,
intersect,5,new_isolated_population,356087.0,persons,analysis_universe,unique_person,,
intersect,5,new_inundated_blocks,4690.0,blocks,analysis_universe,not_applicable,,
intersect,5,new_inundated_population,575265.0,persons,analysis_universe,person_scenario,,
intersect,5,new_inundated_population,575265.0,persons,analysis_universe,unique_person,,
intersect,6,new_fragile_blocks,922.0,blocks,analysis_universe,not_applicable,,
intersect,6,new_fragile_population,88320.0,persons,analysis_universe,person_scenario,,
intersect,6,new_fragile_population,88320.0,persons,analysis_universe,unique_person,,
intersect,6,new_isolated_blocks,5447.0,blocks,analysis_universe,not_applicable,,
intersect,6,new_isolated_population,651276.0,persons,analysis_universe,person_scenario,,
intersect,6,new_isolated_population,651276.0,persons,analysis_universe,unique_person,,
intersect,6,new_inundated_blocks,10301.0,blocks,analysis_universe,not_applicable,,
intersect,6,new_inundated_population,1326887.0,persons,analysis_universe,person_scenario,,
intersect,6,new_inundated_population,1326887.0,persons,analysis_universe,unique_person,,
intersect,1,cumulative_newly_affected_population,5349.0,persons,analysis_universe,person_scenario,,
intersect,1,cumulative_newly_affected_population,5349.0,persons,analysis_universe,unique_person,,
intersect,2,cumulative_newly_affected_population,63689.0,persons,analysis_universe,person_scenario,,
intersect,2,cumulative_newly_affected_population,58340.0,persons,analysis_universe,unique_person,,
intersect,3,cumulative_newly_affected_population,340339.0,persons,analysis_universe,person_scenario,,
intersect,3,cumulative_newly_affected_population,276650.0,persons,analysis_universe,unique_person,,
intersect,4,cumulative_newly_affected_population,883020.0,persons,analysis_universe,person_scenario,,
intersect,4,cumulative_newly_affected_population,542681.0,persons,analysis_universe,unique_person,,
intersect,5,cumulative_newly_affected_population,1902302.0,persons,analysis_universe,person_scenario,,
intersect,5,cumulative_newly_affected_population,1019282.0,persons,analysis_universe,unique_person,,
intersect,6,cumulative_newly_affected_population,3968785.0,persons,analysis_universe,person_scenario,660000.0,3308785.0
intersect,6,cumulative_newly_affected_population,2066483.0,persons,analysis_universe,unique_person,660000.0,1406483.0
approach,0,baseline_status_redundant_blocks,51456.0,blocks,all_blocks,not_applicable,,
approach,0,baseline_status_redundant_population,3714771.0,persons,all_blocks,person_scenario,,
approach,0,baseline_status_redundant_population,3714771.0,persons,all_blocks,unique_person,,
approach,0,baseline_status_fragile_blocks,17714.0,blocks,all_blocks,not_applicable,,
approach,0,baseline_status_fragile_population,2381718.0,persons,all_blocks,person_scenario,,
approach,0,baseline_status_fragile_population,2381718.0,persons,all_blocks,unique_person,,
approach,0,baseline_status_isolated_blocks,176.0,blocks,all_blocks,not_applicable,,
approach,0,baseline_status_isolated_population,19842.0,persons,all_blocks,person_scenario,,
approach,0,baseline_status_isolated_population,19842.0,persons,all_blocks,unique_person,,
approach,0,baseline_status_inundated_blocks,1178.0,blocks,all_blocks,not_applicable,,
approach,0,baseline_status_inundated_population,20155.0,persons,all_blocks,person_scenario,,
approach,0,baseline_status_inundated_population,20155.0,persons,all_blocks,unique_person,,
approach,0,baseline_status_unclassified_blocks,171.0,blocks,all_blocks,not_applicable,,
approach,0,baseline_status_unclassified_population,1847.0,persons,all_blocks,person_scenario,,
approach,0,baseline_status_unclassified_population,1847.0,persons,all_blocks,unique_person,,
approach,0,baseline_fragile_share,0.25056934719569984,share,all_blocks,not_applicable,0.247,0.0035693471956998457
approach,0,new_fragile_blocks,0.0,blocks,all_blocks,not_applicable,,
approach,0,new_fragile_population,0.0,persons,all_blocks,person_scenario,,
approach,0,new_fragile_population,0.0,persons,all_blocks,unique_person,,
approach,0,new_isolated_blocks,0.0,blocks,all_blocks,not_applicable,,
approach,0,new_isolated_population,0.0,persons,all_blocks,person_scenario,,
approach,0,new_isolated_population,0.0,persons,all_blocks,unique_person,,
approach,0,new_inundated_blocks,0.0,blocks,all_blocks,not_applicable,,
approach,0,new_inundated_population,0.0,persons,all_blocks,person_scenario,,
approach,0,new_inundated_population,0.0,persons,all_blocks,unique_person,,
approach,1,new_fragile_blocks,5.0,blocks,all_blocks,not_applicable,,
approach,1,new_fragile_population,56.0,persons,all_blocks,person_scenario,,
approach,1,new_fragile_population,56.0,persons,all_blocks,unique_person,,
approach,1,new_isolated_blocks,14.0,blocks,all_blocks,not_applicable,,
approach,1,new_isolated_population,614.0,persons,all_blocks,person_scenario,,
approach,1,new_isolated_population,614.0,persons,all_blocks,unique_person,,
approach,1,new_inundated_blocks,113.0,blocks,all_blocks,not_applicable,,
approach,1,new_inundated_population,4853.0,persons,all_blocks,person_scenario,,
approach,1,new_inundated_population,4853.0,persons,all_blocks,unique_person,,
approach,2,new_fragile_blocks,204.0,blocks,all_blocks,not_applicable,,
approach,2,new_fragile_population,12988.0,persons,all_blocks,person_scenario,,
approach,2,new_fragile_population,12988.0,persons,all_blocks,unique_person,,
approach,2,new_isolated_blocks,373.0,blocks,all_blocks,not_applicable,,
approach,2,new_isolated_population,34349.0,persons,all_blocks,person_scenario,,
approach,2,new_isolated_population,34349.0,persons,all_blocks,unique_person,,
approach,2,new_inundated_blocks,312.0,blocks,all_blocks,not_applicable,,
approach,2,new_inundated_population,17435.0,persons,all_blocks,person_scenario,,
approach,2,new_inundated_population,17435.0,persons,all_blocks,unique_person,,
approach,3,new_fragile_blocks,477.0,blocks,all_blocks,not_applicable,,
approach,3,new_fragile_population,40500.0,persons,all_blocks,person_scenario,,
approach,3,new_fragile_population,40500.0,persons,all_blocks,unique_person,,
approach,3,new_isolated_blocks,1201.0,blocks,all_blocks,not_applicable,,
approach,3,new_isolated_population,152560.0,persons,all_blocks,person_scenario,,
approach,3,new_isolated_population,152560.0,persons,all_blocks,unique_person,,
approach,3,new_inundated_blocks,1124.0,blocks,all_blocks,not_applicable,,
approach,3,new_inundated_population,86305.0,persons,all_blocks,person_scenario,,
approach,3,new_inundated_population,86305.0,persons,all_blocks,unique_person,,
approach,4,new_fragile_blocks,734.0,blocks,all_blocks,not_applicable,,
approach,4,new_fragile_population,57430.0,persons,all_blocks,person_scenario,,
approach,4,new_fragile_population,57430.0,persons,all_blocks,unique_person,,
approach,4,new_isolated_blocks,1981.0,blocks,all_blocks,not_applicable,,
approach,4,new_isolated_population,239712.0,persons,all_blocks,person_scenario,,
approach,4,new_isolated_population,239712.0,persons,all_blocks,unique_person,,
approach,4,new_inundated_blocks,2823.0,blocks,all_blocks,not_applicable,,
approach,4,new_inundated_population,251397.0,persons,all_blocks,person_scenario,,
approach,4,new_inundated_population,251397.0,persons,all_blocks,unique_person,,
approach,5,new_fragile_blocks,1215.0,blocks,all_blocks,not_applicable,,
approach,5,new_fragile_population,82627.0,persons,all_blocks,person_scenario,,
approach,5,new_fragile_population,82627.0,persons,all_blocks,unique_person,,
approach,5,new_isolated_blocks,3425.0,blocks,all_blocks,not_applicable,,
approach,5,new_isolated_population,353839.0,persons,all_blocks,person_scenario,,
approach,5,new_isolated_population,353839.0,persons,all_blocks,unique_person,,
approach,5,new_inundated_blocks,6400.0,blocks,all_blocks,not_applicable,,
approach,5,new_inundated_population,575301.0,persons,all_blocks,person_scenario,,
approach,5,new_inundated_population,575301.0,persons,all_blocks,unique_person,,
approach,6,new_fragile_blocks,1380.0,blocks,all_blocks,not_applicable,,
approach,6,new_fragile_population,90028.0,persons,all_blocks,person_scenario,,
approach,6,new_fragile_population,90028.0,persons,all_blocks,unique_person,,
approach,6,new_isolated_blocks,6458.0,blocks,all_blocks,not_applicable,,
approach,6,new_isolated_population,641766.0,persons,all_blocks,person_scenario,,
