comparison,other_arm,slr_ft,variable,differing_blocks_total,invariant_blocks_total,differing_blocks_nonmissing,invariant_blocks_nonmissing,differing_missing_blocks,invariant_missing_blocks,differing_block_weighted_mean,invariant_block_weighted_mean,mean_difference_differing_minus_invariant,differing_block_weighted_median,invariant_block_weighted_median,median_difference_differing_minus_invariant,differing_block_weighted_sd,invariant_block_weighted_sd,pooled_descriptive_sd,standardized_mean_difference,absolute_standardized_mean_difference,abs_smd_band,weighting,inference,source_demographics,source_approach,source_other,smd_definition
approach_vs_intersect,intersect,3,renter_share,545,67976,542,67635,3,341,0.290668574593,0.358074525901,-0.0674059513081,0.202863961814,0.29718875502,-0.0943247932062,0.275140056955,0.280046098061,0.277603915661,-0.242813402497,0.242813402497,0.20_to_lt_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,3,log_median_income,545,67976,495,62868,50,5108,11.504196692,11.2253955497,0.278801142293,11.5575067844,11.2289631322,0.328543652197,0.570468113151,0.525416243301,0.54840500401,0.508385481996,0.508385481996,ge_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,3,pct_age_65plus,545,67976,544,67783,1,193,0.315288253468,0.190262427777,0.125025825692,0.267232863902,0.156172533466,0.111060330437,0.198015256852,0.142989461537,0.172707886411,0.723914977423,0.723914977423,ge_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,3,no_vehicle_share,545,67976,542,67635,3,341,0.0521688920797,0.0712829967552,-0.0191141046755,0.0357142857143,0.0353378797272,0.000376405987069,0.0769283537356,0.097889065838,0.088034768186,-0.217119952371,0.217119952371,0.20_to_lt_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,4,pct_black_nh,558,67963,558,67769,0,194,0.126126868518,0.196476862118,-0.0703499935999,0.00529901589705,0.0787801778907,-0.0734811619937,0.235969242596,0.254246033376,0.245277933107,-0.286817459315,0.286817459315,0.20_to_lt_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,4,pct_hispanic,558,67963,558,67769,0,194,0.449097792657,0.442354234393,0.00674355826414,0.400286944046,0.381892048752,0.0183948952937,0.345356959974,0.29700453902,0.322089371139,0.0209369164847,0.0209369164847,lt_0.10,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,4,renter_share,558,67963,555,67622,3,341,0.3781655582,0.357369362662,0.0207961955374,0.263636363636,0.296675191816,-0.0330388281795,0.322410249776,0.279691855597,0.301807805771,0.0689054263668,0.0689054263668,lt_0.10,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,4,log_median_income,558,67963,477,62886,81,5077,11.2629846224,11.2273049823,0.0356796401055,11.2625520224,11.2295540881,0.0329979342893,0.633134560863,0.52545497108,0.581791328052,0.0613272119834,0.0613272119834,lt_0.10,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,4,pct_age_65plus,558,67963,558,67769,0,194,0.224078111721,0.190987610346,0.0330905013754,0.179586563307,0.156483790524,0.0231027727838,0.170148776087,0.143673144866,0.157468375491,0.210140615677,0.210140615677,0.20_to_lt_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,4,no_vehicle_share,558,67963,555,67622,3,341,0.0655801509281,0.071176599942,-0.00559644901387,0.036036036036,0.0353378797272,0.00069815630882,0.0974327133664,0.0977565009486,0.0975947414353,-0.0573437557348,0.0573437557348,lt_0.10,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,5,pct_black_nh,694,67827,693,67634,1,193,0.152479699238,0.196347263653,-0.0438675644156,0.0285986653956,0.0784720428077,-0.0498733774121,0.230348304524,0.254375173625,0.242659298559,-0.180778419274,0.180778419274,0.10_to_lt_0.20,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,5,pct_hispanic,694,67827,693,67634,1,193,0.440794321354,0.44242585407,-0.00163153271585,0.400286944046,0.381859287341,0.0184276567052,0.298739478919,0.29741765644,0.298079300378,-0.00547348545769,0.00547348545769,lt_0.10,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,5,renter_share,694,67827,690,67487,4,340,0.42305253134,0.356868829258,0.0661837020826,0.37158112673,0.296178343949,0.0754027827808,0.314264979993,0.279621570577,0.297448063014,0.222505070001,0.222505070001,0.20_to_lt_0.50,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,5,log_median_income,694,67827,603,62760,91,5067,11.2393782635,11.2274601607,0.0119181027359,11.2625520224,11.2295540881,0.0329979342893,0.566207557392,0.525956900316,0.546452952704,0.021809933823,0.021809933823,lt_0.10,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
approach_vs_intersect,intersect,5,pct_age_65plus,694,67827,693,67634,1,193,0.185783746834,0.191313937004,-0.00553019016995,0.149167270094,0.156855439642,-0.00768816954819,0.145827522953,0.143918963226,0.144876385975,-0.038171784399,0.038171784399,lt_0.10,each eligible block has weight 1; block-group value repeats across its blocks,descriptive only; no pseudo-replication p-values computed,data/processed/analysis/block_group_analysis_dataset_approach.csv,data/processed/access/edited/della_runs/positive_layer_20260814_approach/block_access_flags_long.parquet,data/processed/access/edited/della_runs/positive_layer_20260814_intersect/block_access_flags_long.parquet,(block-weighted mean differing - block-weighted mean invariant) / sqrt((SD_differing^2 + SD_invariant^2) / 2)
