arm,transition,term,estimate_eligible,std.error_eligible,statistic_eligible,p.value_eligible,estimate_all_blocks,std.error_all_blocks,statistic_all_blocks,p.value_all_blocks,estimate_change_eligible_minus_all_blocks,estimate_pct_change,sign_eligible,sign_all_blocks,sign_flip,significant_eligible,significant_all_blocks,significance_changed
approach,Fragile -> Isolated,z_log_median_income,0.2322534082165366,0.07278946728288681,3.190755708019045,0.0014190120833173,0.23548317509994568,0.07284387293657942,3.232710804722946,0.00122621627494529,-0.003229766883409091,-1.3715488939022022,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Fragile -> Isolated,z_pct_age_65plus,0.29992381748350466,0.05937570315319597,5.05128868469427,4.388392420519484e-7,0.29826205590939936,0.0591868471462897,5.039330025000272,4.671643142298452e-7,0.0016617615741053027,0.5571481659102097,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Fragile -> Isolated,z_no_vehicle_share,-0.04739076501883534,0.05016866422518167,-0.9446287986884055,0.3448484190531745,-0.04564111441349493,0.04993030034332501,-0.9140965325596426,0.360666124352424,-0.0017496506053404082,-3.8334966790887135,negative,negative,FALSE,FALSE,FALSE,FALSE
approach,Fragile -> Inundated,z_pct_black_nh,-0.6986373567150037,0.10075203274635856,-6.934225917543627,4.084514708144676e-12,-0.6567658556018171,0.09918113602910708,-6.621882768201742,3.5465228286978435e-11,-0.041871501113186604,-6.375407728043094,negative,negative,FALSE,TRUE,TRUE,FALSE
approach,Fragile -> Inundated,z_pct_hispanic,-0.856727248503449,0.11351530453527774,-7.547240013237152,4.445788372981627e-14,-0.8514146335453832,0.11366629985805143,-7.490475493692021,6.862453917647559e-14,-0.005312614958065787,-0.6239750585379864,negative,negative,FALSE,TRUE,TRUE,FALSE
approach,Fragile -> Inundated,z_renter_share,0.6763103437588397,0.07565330096470607,8.939601248521242,3.905771551221185e-19,0.669334711907188,0.07723006497440135,8.666763547707042,4.4457690470967475e-18,0.006975631851651731,1.042173926969291,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Fragile -> Inundated,z_log_median_income,0.14619582512127346,0.09054285871122196,1.6146588168543636,0.10638460065364722,0.1354565043501389,0.0898733803470305,1.5071927174330937,0.13176126641242683,0.01073932077113457,7.928242960836128,positive,positive,FALSE,FALSE,FALSE,FALSE
approach,Fragile -> Inundated,z_pct_age_65plus,0.23689057235161867,0.0815795274409477,2.9037992714911804,0.00368664439531744,0.2349994470045106,0.0810747080336664,2.898554342088123,0.00374887337343586,0.0018911253471080858,0.8047360839414177,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Fragile -> Inundated,z_no_vehicle_share,-0.01929672803662033,0.07613964670004408,-0.2534386337861633,0.7999292764533988,-0.04386617034608431,0.07771413669096894,-0.5644554802238695,0.5724441903635162,0.02456944230946398,56.0100006807573,negative,negative,FALSE,FALSE,FALSE,FALSE
approach,Fragile -> Worse,z_pct_black_nh,-0.8214683374748724,0.09327866727652433,-8.806604569506039,1.2899376116428407e-18,-0.7904807734418767,0.09279384697138313,-8.518676606711377,1.6138679439417515e-17,-0.03098756403299563,-3.920090794627545,negative,negative,FALSE,TRUE,TRUE,FALSE
approach,Fragile -> Worse,z_pct_hispanic,-1.021893718307198,0.10687505163059031,-9.56157403169578,1.1597915463728448e-21,-1.017982333077816,0.10722358950354435,-9.494014682694107,2.223037292952275e-21,-0.003911385229382169,-0.38422918574198656,negative,negative,FALSE,TRUE,TRUE,FALSE
approach,Fragile -> Worse,z_renter_share,0.7146284134354285,0.07002591877866222,10.205198673568631,1.8793613215553745e-24,0.7137179654729834,0.07068827828112013,10.096694711315491,5.7135526315536135e-24,9.104479624451045e-4,0.12756410886220967,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Fragile -> Worse,z_log_median_income,0.22641968167738413,0.0883973263858745,2.561386084110854,0.01042554253151377,0.21865349080124735,0.08824778198683018,2.4777222257424953,0.01322240398107147,0.00776619087613678,3.551825698129891,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Fragile -> Worse,z_pct_age_65plus,0.3109913265312169,0.07398034860296315,4.203701826281482,2.625847996381311e-5,0.3080051391944485,0.07394257760299117,4.165463920505645,3.107200624936866e-5,0.00298618733676842,0.9695251659041938,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Fragile -> Worse,z_no_vehicle_share,-0.02979694409670749,0.06719556982233107,-0.44343613984511654,0.6574503003964547,-0.0466801115662824,0.06810577284496978,-0.6854060913829002,0.4930877012797176,0.016883167469574908,36.167795883696684,negative,negative,FALSE,FALSE,FALSE,FALSE
